,name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords
153,43894874,,1721,1796,0.005,0.2238,0.082,0.0045043001950499624,0.255,1.0,1,cs,True,"[(554299.548, 145562.503), (554297.249, 145558.826)]"
154,43895073,,1502,1307,0.022,0.3099,0.082,0.0053589327281018,0.209,1.0,1,cs,True,"[(554283.449, 145694.484), (554273.454, 145699.521)]"
155,43906059,,1593,951,0.003,0.8409,0.094,0.012281421644563265,0.105,1.0,1,cs,True,"[(554349.995, 145556.69), (554347.843, 145554.527)]"
156,119479063,,863,951,0.001,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554346.176, 145555.671), (554347.843, 145554.527)]"
157,52929732,,3051,2033,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554352.0, 145525.0), (554354.601817, 145524.87779600002)]"
158,52929772,,3050,2038,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554352.0, 145525.0), (554348.608866, 145523.903971)]"
159,43949988,,671,647,0.001,2.1181,0.105,0.01382273259439772,0.065,1.0,1,cs,True,"[(554328.837, 145569.608), (554330.7629999999, 145571.625)]"
160,43906703,,1753,1033,0.004,0.8409,0.094,0.012281421644563265,0.105,1.0,1,cs,True,"[(554334.073, 145569.333), (554331.839, 145566.807)]"
161,43886256,,834,1033,0.011,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554341.42, 145558.93099999998), (554331.839, 145566.807)]"
162,44014393,,1753,1679,0.001,0.9266,0.086,0.02060124821589481,0.149,1.0,1,cs,True,"[(554334.073, 145569.333), (554334.986, 145570.40099999998)]"
163,131541564,,871,1381,0.01,0.8409,0.086,0.006140710822281632,0.122,1.0,1,cs,True,"[(554302.33, 145591.666), (554296.782, 145589.466)]"
164,132749456,,871,1422,0.01,0.2238,0.086,0.009008600390099925,0.22,1.0,1,cs,True,"[(554302.33, 145591.666), (554305.176, 145575.836)]"
165,52105740,,3053,2285,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554286.0, 145634.0), (554280.802819, 145632.03557)]"
166,131541315,,609,1721,0.039,0.2238,0.082,0.0045043001950499624,0.255,1.0,1,cs,True,"[(554298.049, 145597.133), (554299.548, 145562.503)]"
167,119479297,,863,946,0.002,2.1181,0.094,0.00691136629719886,0.075,1.0,1,cs,True,"[(554346.176, 145555.671), (554347.307, 145557.229)]"
168,131738290,,2542,2032,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1,cs,True,"[(554352.0, 145525.0), (554351.93702, 145529.040648)]"
