,SectionID,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,df,parallel,type,in_service,coords,FromNodeID,ToNodeID
207,43848956,,1212.0,1202.0,0.035,0.4476,0.09,0.011258042236110585,0.15,1.0,1.0,cs,True,"[(554168.922, 146581.441), (554197.6170000001, 146583.44400000002)]",42694243,42799793
208,137936834,,3064.0,2125.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554113.0, 146717.0), (554115.3760520001, 146717.328709)]",137936339,137936831
209,43894108,,1097.0,1284.0,0.015,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(554046.519, 146485.756), (554061.832, 146496.115)]",42687631,42682256
210,43885464,,1097.0,909.0,0.037,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554046.519, 146485.756), (554015.256, 146464.39800000002)]",42687631,42685805
211,43939273,,1649.0,909.0,0.002,4.71,0.12,0.02573240793725066,0.05,1.0,1.0,cs,True,"[(554019.07, 146457.82), (554015.256, 146464.39800000002)]",42766857,42685805
212,43923366,,2419.0,1142.0,0.052,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554260.494381, 146544.248556), (554205.603, 146543.108)]",52086091,42695889
213,43924236,,1979.0,1142.0,0.053,0.2384,0.078,0.004118756857055117,0.261,1.0,1.0,cs,True,"[(554174.153423, 146533.486029), (554205.603, 146543.108)]",52895674,42695889
214,52086125,,2579.0,2423.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554255.0, 146544.0), (554260.494381, 146544.248556)]",42889325,52086123
215,43892167,,538.0,806.0,0.012,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554167.449, 146546.015), (554171.565, 146538.458)]",42683854,42676172
216,43892129,,1981.0,806.0,0.006,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554172.029356, 146533.41630399998), (554171.565, 146538.458)]",52895690,42676172
217,43885863,,1658.0,632.0,0.04,0.2238,0.086,0.009008600390099925,0.22,1.0,1.0,cs,True,"[(554208.855, 146545.258), (554213.009, 146571.81900000002)]",42687918,42689812
218,43907461,,1795.0,632.0,0.007,0.2466,0.082,0.015110841974070288,0.308,1.0,1.0,cs,True,"[(554208.411, 146581.386), (554213.009, 146571.81900000002)]",42674688,42689812
219,43894417,,2552.0,1344.0,0.001,0.2238,0.082,0.0045043001950499624,0.255,1.0,1.0,cs,True,"[(553992.0, 146424.0), (553998.439, 146432.54)]",52889618,42689911
220,44038279,,2421.0,562.0,0.005,1.3306,0.09,0.006900129764882415,0.093,1.0,1.0,cs,True,"[(554260.494381, 146544.248556), (554258.6429999999, 146531.309)]",52086107,42835274
221,52086085,,2568.0,2418.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554255.0, 146544.0), (554260.494381, 146544.248556)]",42976842,52086083
222,52937804,,3065.0,1965.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554326.0, 146562.0), (554328.250002, 146566.807617)]",42903602,52937802
223,52937844,,3066.0,2342.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554197.0, 146608.0), (554201.1550220001, 146602.072794)]",42904675,52937842
224,43965531,,2570.0,738.0,0.07,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554243.0, 146440.0), (554235.025, 146463.863)]",52850994,42769205
225,52895692,,2581.0,1981.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554167.0, 146531.0), (554172.029356, 146533.41630399998)]",42909253,52895690
226,43892162,,1974.0,1756.0,0.006,0.4932,0.083,0.01888407013430177,0.209,1.0,1.0,cs,True,"[(554169.90705, 146533.34663800002), (554169.558, 146538.638)]",52043545,42685384
227,43966955,,2346.0,1966.0,0.149,0.2633,0.078,0.013817932201067487,0.319,1.0,1.0,cs,True,"[(554197.85898, 146604.543891), (554328.250002, 146568.795898)]",52937874,52937810
228,52937812,,2565.0,1966.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554326.0, 146562.0), (554328.250002, 146568.795898)]",42903600,52937810
229,52882980,,3071.0,1843.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(554109.0, 146522.0), (554102.992831, 146526.866085)]",42952264,52882978
230,52889620,,3033.0,2552.0,0.001,0.4158,0.3269,0.8981655930693868,0.305,1.0,1.0,cs,True,"[(553992.0, 146424.0), (553992.0, 146424.0)]",42909249,52889618
